id,title,source_section,requirement,status,test_evidence,implementation
PERF-005,缓存,17.1 性能目标,PERF-005 | 缓存 | 静态资源长缓存；产品和内容使用 CDN/边缘缓存并支持发布后失效。,未实现,,
PERF-006,API,17.1 性能目标,PERF-006 | API | 常用只读接口 P95 响应建议 < 500ms，不含第三方依赖延迟。,未实现,,
ACC-001,后台运营人员可以不改代码新增产品、变体、图片、文章、FAQ、Banner 并发布。,21.1 功能验收,ACC-001 | 后台运营人员可以不改代码新增产品、变体、图片、文章、FAQ、Banner 并发布。,部分实现,docs/阶段一验证.md（含未覆盖范围）,产品与图片可后台发布；文章/FAQ/Banner/多变体未实现
ACC-002,普通用户和经销商登录后看到不同价格与业务入口，接口层不存在越权获取经销商价。,21.1 功能验收,ACC-002 | 普通用户和经销商登录后看到不同价格与业务入口，接口层不存在越权获取经销商价。,未实现,,
ACC-003,经销商申请从提交、审核、补件、通过到登录完整可运行。,21.1 功能验收,ACC-003 | 经销商申请从提交、审核、补件、通过到登录完整可运行。,未实现,,
ACC-004,经销商可查看专属目录、价格、快速下单、报价和订单记录。,21.1 功能验收,ACC-004 | 经销商可查看专属目录、价格、快速下单、报价和订单记录。,未实现,,
ACC-005,B2C 开启时用户可完成购物车、结算、支付、订单查看；关闭时前台自动切换为非交易 CTA。,21.1 功能验收,ACC-005 | B2C 开启时用户可完成购物车、结算、支付、订单查看；关闭时前台自动切换为非交易 CTA。,未实现,,
ACC-006,管理员可管理订单、报价、经销商、用户、内容、SEO、权限和审计日志。,21.1 功能验收,ACC-006 | 管理员可管理订单、报价、经销商、用户、内容、SEO、权限和审计日志。,部分实现,docs/阶段一验证.md（含未覆盖范围）,产品、首页、询盘与审计；完整后台模块未实现
ACC-007,多语言页面不出现未翻译混排；语言 URL、hreflang、Sitemap 正确。,21.1 功能验收,ACC-007 | 多语言页面不出现未翻译混排；语言 URL、hreflang、Sitemap 正确。,部分实现,2026-09-07 浏览器切换、跨页保持及 390px 视口检查；Web 类型检查和生产构建通过,主要界面已支持英汉切换且 html lang 同步；录入内容翻译、语言 URL、hreflang 和 Sitemap 未实现
ACC-008,移动端主要页面无横向溢出，产品筛选、表格、表单和图片可正常操作。,21.1 功能验收,ACC-008 | 移动端主要页面无横向溢出，产品筛选、表格、表单和图片可正常操作。,部分实现,docs/阶段一验证.md（含未覆盖范围）,桌面页面及后台 390px 局部检查；全模板全尺寸未验收
ACC-009,主要表单具备客户端和服务端校验、反垃圾和提交反馈。,21.1 功能验收,ACC-009 | 主要表单具备客户端和服务端校验、反垃圾和提交反馈。,部分实现,docs/阶段一验证.md（含未覆盖范围）,联系与产品表单校验及反馈；其他主流程表单未实现
ACC-010,敏感文件和后台接口经过权限校验。,21.1 功能验收,ACC-010 | 敏感文件和后台接口经过权限校验。,部分实现,docs/阶段一验证.md（含未覆盖范围）,当前后台接口与未发布媒体鉴权；完整私有资料待实现
U-001,用户中心 Dashboard,附录 B. 页面与功能清单,U-001 | 用户中心 Dashboard | 用户中心 | 必须 | 登录,未实现,,
U-002,个人资料,附录 B. 页面与功能清单,U-002 | 个人资料 | 用户中心 | 必须 | 登录,未实现,,
U-003,地址簿,附录 B. 页面与功能清单,U-003 | 地址簿 | 用户中心 | 必须 | 登录,未实现,,
U-004,收藏,附录 B. 页面与功能清单,U-004 | 收藏 | 用户中心 | 必须 | 登录,未实现,,
U-005,订单,附录 B. 页面与功能清单,U-005 | 订单 | 用户中心 | 必须 | 登录,未实现,,
U-006,售后,附录 B. 页面与功能清单,U-006 | 售后 | 用户中心 | 必须 | 登录,未实现,,
U-007,安全,附录 B. 页面与功能清单,U-007 | 安全 | 用户中心 | 必须 | 登录,未实现,,
D-001,Dealer Dashboard,附录 B. 页面与功能清单,D-001 | Dealer Dashboard | 经销商中心 | 必须 | 经销商登录,未实现,,
D-002,Dealer Catalog,附录 B. 页面与功能清单,D-002 | Dealer Catalog | 经销商中心 | 必须 | 授权过滤,未实现,,
D-003,Quick Order,附录 B. 页面与功能清单,D-003 | Quick Order | 经销商中心 | 必须 | SKU 批量输入,未实现,,
D-004,Quotes,附录 B. 页面与功能清单,D-004 | Quotes | 经销商中心 | 必须 | 版本化,未实现,,
D-005,Orders,附录 B. 页面与功能清单,D-005 | Orders | 经销商中心 | 必须 | 企业隔离,未实现,,
D-006,Downloads,附录 B. 页面与功能清单,D-006 | Downloads | 经销商中心 | 必须 | 私有文件,未实现,,
D-007,Company,附录 B. 页面与功能清单,D-007 | Company | 经销商中心 | 必须 | 企业资料,未实现,,
D-008,Team,附录 B. 页面与功能清单,D-008 | Team | 经销商中心 | 必须 | 经销商管理员,未实现,,
D-009,Support,附录 B. 页面与功能清单,D-009 | Support | 经销商中心 | 必须 | 专属联系,未实现,,
A-001,Dashboard,附录 B. 页面与功能清单,A-001 | Dashboard | 后台 | 必须 | 权限控制,未实现,,
A-002,Products,附录 B. 页面与功能清单,A-002 | Products | 后台 | 必须 | PIM,未实现,,
A-003,Pricing,附录 B. 页面与功能清单,A-003 | Pricing | 后台 | 必须 | 价格体系,未实现,,
A-004,Inventory,附录 B. 页面与功能清单,A-004 | Inventory | 后台 | 必须 | 库存,未实现,,
A-005,Orders,附录 B. 页面与功能清单,A-005 | Orders | 后台 | 必须 | 订单,未实现,,
A-006,Quotes,附录 B. 页面与功能清单,A-006 | Quotes | 后台 | 必须 | B2B,未实现,,
A-007,Dealers,附录 B. 页面与功能清单,A-007 | Dealers | 后台 | 必须 | 申请/企业/成员,未实现,,
A-008,Users,附录 B. 页面与功能清单,A-008 | Users | 后台 | 必须 | 用户,未实现,,
A-009,Content,附录 B. 页面与功能清单,A-009 | Content | 后台 | 必须 | CMS,未实现,,
A-010,Media,附录 B. 页面与功能清单,A-010 | Media | 后台 | 必须 | 资产,未实现,,
A-011,Forms,附录 B. 页面与功能清单,A-011 | Forms | 后台 | 必须 | 线索/客服,未实现,,
A-012,SEO,附录 B. 页面与功能清单,A-012 | SEO | 后台 | 必须 | 重定向/站点地图,未实现,,
A-013,Reports,附录 B. 页面与功能清单,A-013 | Reports | 后台 | 必须 | 数据,未实现,,
A-014,Settings,附录 B. 页面与功能清单,A-014 | Settings | 后台 | 必须 | 系统配置,未实现,,
A-015,Roles,附录 B. 页面与功能清单,A-015 | Roles | 后台 | 必须 | RBAC,未实现,,
A-016,Audit Logs,附录 B. 页面与功能清单,A-016 | Audit Logs | 后台 | 必须 | 审计,未实现,,
